id,county,state
1003,Baldwin County,Alabama
1015,Calhoun County,Alabama
1043,Cullman County,Alabama
1049,DeKalb County,Alabama
1051,Elmore County,Alabama
1055,Etowah County,Alabama
1069,Houston County,Alabama
1073,Jefferson County,Alabama
1077,Lauderdale County,Alabama
1081,Lee County,Alabama
1083,Limestone County,Alabama
1089,Madison County,Alabama
1095,Marshall County,Alabama
1097,Mobile County,Alabama
1101,Montgomery County,Alabama
1103,Morgan County,Alabama
1115,St. Clair County,Alabama
1117,Shelby County,Alabama
1121,Talladega County,Alabama
1125,Tuscaloosa County,Alabama
1127,Walker County,Alabama
2020,Anchorage Municipality,Alaska
2090,Fairbanks North Star Borough,Alaska
2170,Matanuska-Susitna Borough,Alaska
4001,Apache County,Arizona
4003,Cochise County,Arizona
4005,Coconino County,Arizona
4013,Maricopa County,Arizona
4015,Mohave County,Arizona
4017,Navajo County,Arizona
4019,Pima County,Arizona
4021,Pinal County,Arizona
4025,Yavapai County,Arizona
4027,Yuma County,Arizona
5007,Benton County,Arkansas
5031,Craighead County,Arkansas
5045,Faulkner County,Arkansas
5051,Garland County,Arkansas
5069,Jefferson County,Arkansas
5085,Lonoke County,Arkansas
5119,Pulaski County,Arkansas
5125,Saline County,Arkansas
5131,Sebastian County,Arkansas
5143,Washington County,Arkansas
5145,White County,Arkansas
6001,Alameda County,California
6007,Butte County,California
6013,Contra Costa County,California
6017,El Dorado County,California
6019,Fresno County,California
6023,Humboldt County,California
6025,Imperial County,California
6029,Kern County,California
6031,Kings County,California
6033,Lake County,California
6037,Los Angeles County,California
6039,Madera County,California
6041,Marin County,California
6045,Mendocino County,California
6047,Merced County,California
6053,Monterey County,California
6055,Napa County,California
6057,Nevada County,California
6059,Orange County,California
6061,Placer County,California
6065,Riverside County,California
6067,Sacramento County,California
6071,San Bernardino County,California
6073,San Diego County,California
6075,San Francisco County,California
6077,San Joaquin County,California
6079,San Luis Obispo County,California
6081,San Mateo County,California
6083,Santa Barbara County,California
6085,Santa Clara County,California
6087,Santa Cruz County,California
6089,Shasta County,California
6095,Solano County,California
6097,Sonoma County,California
6099,Stanislaus County,California
6101,Sutter County,California
6107,Tulare County,California
6111,Ventura County,California
6113,Yolo County,California
6115,Yuba County,California
8001,Adams County,Colorado
8005,Arapahoe County,Colorado
8013,Boulder County,Colorado
8014,Broomfield County,Colorado
8031,Denver County,Colorado
8035,Douglas County,Colorado
8041,El Paso County,Colorado
8059,Jefferson County,Colorado
8069,Larimer County,Colorado
8077,Mesa County,Colorado
8101,Pueblo County,Colorado
8123,Weld County,Colorado
9001,Fairfield County,Connecticut
9003,Hartford County,Connecticut
9005,Litchfield County,Connecticut
9007,Middlesex County,Connecticut
9009,New Haven County,Connecticut
9011,New London County,Connecticut
9013,Tolland County,Connecticut
9015,Windham County,Connecticut
10001,Kent County,Delaware
10003,New Castle County,Delaware
10005,Sussex County,Delaware
11001,District of Columbia,District of Columbia
12001,Alachua County,Florida
12005,Bay County,Florida
12009,Brevard County,Florida
12011,Broward County,Florida
12015,Charlotte County,Florida
12017,Citrus County,Florida
12019,Clay County,Florida
12021,Collier County,Florida
12023,Columbia County,Florida
12031,Duval County,Florida
12033,Escambia County,Florida
12035,Flagler County,Florida
12053,Hernando County,Florida
12055,Highlands County,Florida
12057,Hillsborough County,Florida
12061,Indian River County,Florida
12069,Lake County,Florida
12071,Lee County,Florida
12073,Leon County,Florida
12081,Manatee County,Florida
12083,Marion County,Florida
12085,Martin County,Florida
12086,Miami-Dade County,Florida
12087,Monroe County,Florida
12089,Nassau County,Florida
12091,Okaloosa County,Florida
12095,Orange County,Florida
12097,Osceola County,Florida
12099,Palm Beach County,Florida
12101,Pasco County,Florida
12103,Pinellas County,Florida
12105,Polk County,Florida
12107,Putnam County,Florida
12109,St. Johns County,Florida
12111,St. Lucie County,Florida
12113,Santa Rosa County,Florida
12115,Sarasota County,Florida
12117,Seminole County,Florida
12119,Sumter County,Florida
12127,Volusia County,Florida
12131,Walton County,Florida
13013,Barrow County,Georgia
13015,Bartow County,Georgia
13021,Bibb County,Georgia
13031,Bulloch County,Georgia
13045,Carroll County,Georgia
13047,Catoosa County,Georgia
13051,Chatham County,Georgia
13057,Cherokee County,Georgia
13059,Clarke County,Georgia
13063,Clayton County,Georgia
13067,Cobb County,Georgia
13073,Columbia County,Georgia
13077,Coweta County,Georgia
13089,DeKalb County,Georgia
13095,Dougherty County,Georgia
13097,Douglas County,Georgia
13113,Fayette County,Georgia
13115,Floyd County,Georgia
13117,Forsyth County,Georgia
13121,Fulton County,Georgia
13127,Glynn County,Georgia
13135,Gwinnett County,Georgia
13139,Hall County,Georgia
13151,Henry County,Georgia
13153,Houston County,Georgia
13157,Jackson County,Georgia
13185,Lowndes County,Georgia
13215,Muscogee County,Georgia
13217,Newton County,Georgia
13223,Paulding County,Georgia
13245,Richmond County,Georgia
13247,Rockdale County,Georgia
13255,Spalding County,Georgia
13285,Troup County,Georgia
