id,total
1003,218022
1015,114277
1043,83442
1049,71385
1051,81887
1055,102501
1069,104722
1073,659300
1077,92387
1081,163941
1083,96174
1089,366519
1095,96109
1097,413757
1101,225763
1103,119089
1115,88690
1117,215707
1121,79828
1125,208911
1127,63711
2020,291538
2090,98971
2170,107610
4001,71818
4003,126770
4005,142854
4013,4410824
4015,209550
4017,110445
4019,1039073
4021,447138
4025,231993
4027,212128
5007,272608
5031,108558
5045,124806
5051,99154
5069,68114
5085,73657
5119,392680
5125,121421
5131,127753
5143,236961
5145,78727
6001,1666753
6007,231256
6013,1150215
6017,190678
6019,994400
6023,136373
6025,181827
6029,896764
6031,151366
6033,64382
6037,10105518
6039,157672
6041,259666
6045,87606
6047,274765
6053,435594
6055,139417
6057,99696
6059,3185968
6061,393149
6065,2450758
6067,1540975
6071,2171603
6073,3343364
6075,883305
6077,752660
6079,284010
6081,769545
6083,446527
6085,1937570
6087,274255
6089,180040
6095,446610
6097,499942
6099,549815
6101,96807
6107,465861
6111,850967
6113,220408
6115,78041
8001,511868
8005,651215
8013,326078
8014,69267
8031,716492
8035,342776
8041,713856
8059,580233
8069,350518
8077,153207
8101,167529
8123,314305
9001,943823
9003,892697
9005,181111
9007,162682
9009,857620
9011,266784
9013,150921
9015,117027
10001,178550
10003,559335
10005,229286
11001,702455
12001,269956
12005,185287
12009,596849
12011,1951260
12015,184998
12017,147929
12019,216072
12021,378488
12023,70503
12031,950181
12033,315534
12035,112067
12053,190865
12055,105424
12057,1436888
12061,157413
12069,356495
12071,754610
12073,292502
12081,394855
12083,359977
12085,160912
12086,2761581
12087,75027
12089,85832
12091,207269
12095,1380645
12097,367990
12099,1485941
12101,539630
12103,975280
12105,708009
12107,74163
12109,254261
12111,321128
12113,179349
12115,426718
12117,467832
12119,128754
12127,547538
12131,71375
13013,80809
13015,106408
13021,153095
13031,77296
13045,118121
13047,67420
13051,289195
13057,254149
13059,127330
13063,289615
13067,756865
13073,154291
13077,145864
13089,756558
13095,91243
13097,145331
13113,113459
13115,97927
13117,236612
13121,1050114
13127,85219
13135,927781
13139,202148
13151,230220
13153,155469
13157,70422
13185,116321
13215,194160
13217,109541
13223,164044
13245,201554
13247,90594
13255,66100
13285,70034
13295,69410
13297,93503
13313,104062
15001,200983
15003,980080
15007,72133
15009,167218
16001,469966
16005,87138
16019,116854
16027,223499
16055,161505
16083,86081
17001,65691
17019,209983
17031,5180493
17037,104143
17043,928589
17089,534216
17091,110024
17093,127915
17097,700832
17099,109430
17111,308570
17113,172828
17115,104712
17119,264461
17143,180621
17161,143477
17163,261059
17167,195348
17179,132328
17183,76806
17197,692310
17199,67056
17201,284081
18003,375351
18005,82753
18011,66999
18019,117360
18035,114772
18039,205560
18043,77781
18053,65936
18057,330086
18059,76351
18063,167009
18067,82366
18081,156225
18085,79344
18089,484411
18091,110007
18095,129641
18097,954670
18105,146917
18109,70116
18127,169594
18141,270771
18157,193048
18163,180974
18167,107386
18177,65936
19013,132408
19049,90180
19061,96854
19103,151260
19113,225909
19153,487204
19155,93533
19163,173283
19169,98105
19193,102539
20015,66765
20045,121436
20091,597555
20103,81352
20161,73703
20173,513607
20177,177499
20209,165324
21015,131533
21029,81069
21037,93152
21047,71671
21059,101104
21067,323780
21093,110356
21111,770517
21117,166051
21145,65346
21151,92368
21185,66470
21227,131264
22005,124672
22015,127185
22017,242922
22019,203112
22033,440956
22045,70941
22051,434051
22055,242782
22057,98115
22063,139567
22071,391006
22073,154475
22079,130562
22097,82764
22103,258111
22105,133777
22109,111021
23001,107679
23003,67111
23005,293557
23011,122083
23019,151096
23031,206229
24001,70975
24003,576031
24005,828431
24009,92003
24013,168429
24015,102826
24017,161503
24021,255648
24025,253956
24027,323196
24031,1052567
24033,909308
24037,112664
24043,150926
24045,103195
24510,602495
25001,213413
25003,126348
25005,564022
25009,790638
25011,70963
25013,470406
25015,161355
25017,1614714
25021,705388
25023,518132
25025,807252
25027,830839
26005,117327
26017,103923
26021,154141
26025,134487
26037,79332
26045,109826
26049,406892
26055,92573
26065,292735
26073,70562
26075,158823
26077,264870
26081,653786
26087,88028
26091,98266
26093,191224
26099,874759
26103,66516
26111,83209
26115,150439
26121,173588
26125,1259201
26139,290494
26145,190800
26147,159337
26155,68192
26159,75448
26161,370963
26163,1753893
27003,353813
27013,67427
27019,103551
27037,425423
27053,1259428
27109,156277
27123,550210
27131,66523
27137,199754
27139,147381
27141,96036
27145,159256
27163,259201
27171,136349
28033,182001
28035,75036
28047,206650
28049,237085
28059,143277
28067,68461
28075,75317
28081,85202
28089,105630
28121,153902
29019,180005
29021,88571
29031,78753
29037,104954
29043,86983
29047,246365
29051,76796
29071,103670
29077,291923
29095,700307
29097,120636
29099,224347
29165,102985
29183,399182
29187,66692
29189,996945
29510,302838
30013,81643
30029,102106
30031,111876
30049,68700
30063,118791
30111,160137
31055,566880
31109,317272
31153,184459
32003,2231647
32031,465735
33005,76493
33009,89786
33011,415247
33013,151132
33015,309176
33017,130090
34001,265429
34003,936692
34005,445384
34007,507078
34009,92560
34011,150972
34013,799767
34015,291408
34017,676061
34019,124714
34021,369811
34023,829685
34025,621354
34027,494228
34029,601651
34031,503310
34033,62607
34035,331164
34037,140799
34039,558067
34041,105779
35001,678701
35005,64689
35013,217522
35025,69611
35031,72290
35035,66781
35043,145179
35045,125043
35049,150056
35061,76456
36001,307117
36005,1432132
36007,191659
36009,76840
36011,77145
36013,127939
36015,84254
36019,80695
36027,293718
36029,919719
36045,111755
